zaal_1;298;230
zaal_2;340;230
zaal_3;377;232
zaal_4;371;195
zaal_5;308;193
zaal_6;298;158
zaal_7;340;157
zaal_8;378;160
zaal_9;322;129
zaal_10;314;103
zaal_11;297;79
zaal_12;271;64
zaal_13;378;112
zaal_14;425;130
zaal_15;467;129
zaal_16;382;64
zaal_17;345;59
zaal_18;377;26
zaal_19;311;28
zaal_a;201;230
zaal_b;160;230
zaal_c;122;232
zaal_d;127;194
zaal_e;189;195
zaal_f;201;159
zaal_g;160;158
zaal_h;121;159
zaal_i;176;130
zaal_j;182;103
zaal_k;200;79
zaal_l;226;65
zaal_m;121;112
zaal_n;74;128
zaal_o;31;128
zaal_p;117;62
zaal_q;154;59
zaal_r;123;25
zaal_s;188;28
zaal_ii;249;194
zaal_iii;250;115
zaal_iv;249;43
zaal_v;249;24
